time,leader_q1,leader_q2,leader_dq1,leader_dq2,leader_u1,leader_u2,follower_q1,follower_q2,follower_dq1,follower_dq2,follower_u1,follower_u2
1.89,0.799999999966191,-1.0000000000347935,-9.478747749579898e-11,-1.437270044404128e-10,1.10451965028857e-09,1.4498039831891037e-09,0.7193261545208979,-0.8588860992560353,0.29852250233021305,-0.4733516094748476,-0.9253668259114545,1.2859152102619151
1.9,0.7999999999706381,-1.000000000030435,5.417633905951598e-10,5.427516039356312e-10,-3.2723995943122477e-09,-3.2644434334788674e-09,0.7218027060287537,-0.8628206422811434,0.27824282587322835,-0.44215346520885324,-0.8215827589497964,1.1280535213013874
1.91,0.7999999999743909,-1.0000000000268676,5.019530673556679e-10,4.572453676468764e-10,-3.0537232323118108e-09,-2.7333904026180042e-09,0.7239565926237597,-0.8662502569475348,0.3049657854263834,-0.4857226889874378,-1.03213822523759,1.4700976374555208
1.92,0.7999999999735928,-1.0000000000282523,-1.7683302411077322e-10,-2.3196317214725267e-10,1.5597309640233907e-09,1.958746984961325e-09,0.7263493681683046,-0.8700689783120825,0.26695436596810584,-0.42615419442362035,-0.806970139326026,1.1183593084829717
1.93,0.7999999999721846,-1.0000000000295821,-1.1133965219526195e-09,-6.669947248376383e-10,7.929396400594475e-09,4.926671458888796e-09,0.7284219422865426,-0.8733840904081196,0.29356596768929777,-0.46968456406374043,-1.0156627855574478,1.458580081783869
1.94,0.7999999999767218,-1.0000000000250655,6.971201864429612e-10,7.547407410355269e-10,-4.408905270536363e-09,-4.775192888767866e-09,0.7301817356781923,-0.8762050616204241,0.3170342396765867,-0.5083826613696931,-1.1987789806902858,1.7593147779969651
1.95,0.799999999977,-1.000000000024873,-8.290555889362789e-11,-1.1830394794329514e-10,8.763102701991295e-10,1.1419144393081966e-09,0.7319141608406773,-0.8789883808369863,0.3067553888972916,-0.4930182736198934,-1.1526758192173459,1.693092497773114
1.96,0.7999999999766025,-1.000000000025582,-1.2826715954478698e-10,-2.2628982661542418e-10,1.1893165940323468e-09,1.8838040480677583e-09,0.7338700000209379,-0.8821379174046755,0.26912409875024074,-0.43351531877815846,-0.9241333103761846,1.3326814313768225
1.97,0.7999999999794197,-1.0000000000231473,6.192859623935278e-10,5.552708708999601e-10,-3.917997246154587e-09,-3.4488761107639878e-09,0.7355027132581483,-0.8847729718388939,0.29475883340032,-0.4758724288395411,-1.1202096087215008,1.6556845592898861
1.98,0.7999999999792268,-1.0000000000240061,-2.449046476769957e-10,-3.340018045761555e-10,1.944339646114667e-09,2.5926272388238233e-09,0.7375094413259501,-0.8880186281336813,0.24075485532537635,-0.38963128329174546,-0.7813335979086055,1.115347376846918
1.99,0.799999999978509,-1.0000000000252287,-1.1025187070495844e-10,-1.716572681836967e-10,1.041121700886212e-09,1.5085389456709442e-09,0.739314490840142,-0.8909451694478566,0.2544821016951553,-0.4126957530863606,-0.8990102941818807,1.3115531804693836
2.0,0.799999999978042,-1.0000000000261002,1.027704977984121e-09,4.706325454551976e-10,-6.6684911964377e-09,-2.834644971026769e-09,0.7408422470889862,-0.893427530034949,0.2753034612175572,-0.4474763541213671,-1.0610162797968794,1.5811212400392185
2.01,0.7999999999775054,-1.0000000000269587,-1.1707779880641342e-10,-1.9346640580821188e-10,1.1011143597273062e-09,1.6800470722492238e-09,0.7422421711706493,-0.8957066157467136,0.2777179642385786,-0.45249443847365534,-1.0964600006413927,1.6461848745299055
2.02,0.7999999999767422,-1.0000000000282303,-1.2325436403912908e-10,-2.0513976005497643e-10,1.153419269180787e-09,1.776568812250318e-09,0.7437094523549052,-0.898101490002364,0.2580509530530122,-0.4213381000080493,-0.9830817728095262,1.4676300993051568
2.03,0.7999999999744759,-1.0000000000298679,-9.294295355634633e-10,-5.34735941651255e-10,6.6506989828110896e-09,4.033785511297308e-09,0.7448791375445495,-0.9000148117075363,0.2801940436424496,-0.45853693950236324,-1.1491728824611092,1.7458367708896505
2.04,0.799999999975933,-1.0000000000292673,-2.6741683157926815e-10,-3.2340070194239353e-10,2.141976001055978e-09,2.592608852863456e-09,0.7464926625170548,-0.9026605068046093,0.21810992966687998,-0.3577639282475075,-0.7501473179166032,1.0988264494008675
