u1,u2
0.5255993755810717,-0.3354111151040751
0.8244266500004002,-0.5773163959414954
0.6620566578941158,-0.46094375440420676
0.4070496229589828,-0.20538655582651968
0.09373981408252208,0.13279813338982485
0.13565950570624236,0.10338969085872893
0.2177453973045992,0.12802355314745062
0.3383706084345178,-0.0393841548348406
0.354214010958909,-0.18638941946747617
0.37468711518937375,-0.1238178545350587
0.5498932197225229,-0.29103084182741173
0.24305803713034044,-0.005170922954543147
0.1831801831060756,-0.04708854383224718
0.3508270219713149,-0.33032940425626844
0.7822353825851293,-0.5182697152531979
0.4053080668255229,-0.37142149226929555
0.20965035029629484,-0.11008731660912655
0.31888603279782873,-0.1739547030595877
0.46067432208188447,-0.2806059176735137
0.6037990706515693,-0.5436810095553614
0.515576202873217,-0.37783757150985026
0.3997677230014125,-0.24354860587466703
0.3317192112777757,-0.23969093700067132
0.32436825663855595,-0.1352362290908813
0.341116473776065,-0.3176486813020484
0.25425052754693056,-0.11023753080765201
0.5371894840572944,-0.35871241201145493
0.2612754720589461,-0.18090612381817178
0.33787088830813394,-0.3396386324007159
0.3541684128795643,-0.26782497564589924
0.4526881163733259,-0.4415801464021043
0.3661718537954805,-0.3103244052589852
0.25708704226712775,-0.06226765006051235
0.29153621264861707,-0.2250741193868574
0.269480921115119,-0.25216694237023607
0.25457383466988015,-0.33216908285554825
0.38000682398536884,-0.3039243581728426
0.23290183479457263,-0.24519378252943555
0.4042989005525288,-0.2763229319942352
0.17332966919366807,-0.28370963188269144
0.21702013938112857,-0.1940912829248137
0.25517197508617884,-0.306843772391508
0.3107198961005215,-0.21784697194902844
0.34608137133019995,-0.2998117435739567
0.3104709051248277,-0.24761445336766633
0.31964221393745684,-0.2948644745938274
0.3490896958039312,-0.3360218338666993
0.2731443198645598,-0.36385936429610305
0.3362481488308032,-0.2899000948837667
0.2452148286329285,-0.26265054763081386
0.2943880628991861,-0.3354579257614809
0.24996513062686015,-0.29765971995674545
0.290378281741072,-0.2170331866921491
0.24872089185585722,-0.4011990338510394
0.2509338070968976,-0.2688344334854671
0.2888823781551502,-0.3302854277994486
0.30659896516137847,-0.20062964359538782
0.23664469588614026,-0.32091428763772234
0.33778328438709115,-0.3053842573246427
0.2367217407989253,-0.3074632117308682
0.2740178516058206,-0.4469119389962084
0.2955608015495307,-0.34939228632029556
