e1,e2,e3,e4
0.3055798326105633,-0.8157162003901832,-0.18181818173216133,0.18181818203044064
0.30376165079324036,-0.8138980185698812,-0.1818181817324305,0.181818182029988
0.30376165079324036,-0.8138980185698812,-0.1818181817324305,0.181818182029988
0.3019434689759147,-0.8120798367495836,-0.18181818173269967,0.1818181820295366
0.30012528715858633,-0.8102616549292905,-0.1818181817329676,0.18181818202908673
0.2983071053412553,-0.8084434731090019,-0.1818181817332355,0.18181818202863778
0.29648892352392153,-0.8066252912887177,-0.1818181817335027,0.18181818202819053
0.29648892352392153,-0.8066252912887177,-0.1818181817335027,0.18181818202819053
0.2946707417065852,-0.8048071094684381,-0.18181818173376824,0.1818181820277444
0.29285255988924613,-0.8029889276481629,-0.18181818173403533,0.18181818202729977
0.29103437807190446,-0.8011707458278922,-0.18181818173430012,0.18181818202685635
0.28921619625456013,-0.7993525640076259,-0.18181818173456543,0.18181818202641425
0.28921619625456013,-0.7993525640076259,-0.18181818173456543,0.18181818202641425
0.28739801443721313,-0.7975343821873639,-0.18181818173482955,0.1818181820259735
0.2855798326198635,-0.7957162003671064,-0.18181818173509307,0.18181818202553363
0.28376165080251126,-0.7938980185468534,-0.18181818173535655,0.1818181820250957
0.28376165080251126,-0.7938980185468534,-0.18181818173535655,0.1818181820250957
0.2819434689851564,-0.7920798367266045,-0.18181818173561887,0.18181818202465871
0.28012528716779883,-0.7902616549063601,-0.1818181817358811,0.1818181820242227
0.2783071053504387,-0.7884434730861202,-0.18181818173614217,0.18181818202378847
0.276488923533076,-0.7866252912658844,-0.18181818173640327,0.18181818202335534
0.276488923533076,-0.7866252912658844,-0.18181818173640327,0.18181818202335534
0.2746707417157106,-0.7848071094456531,-0.1818181817366648,0.18181818202292377
0.2728525598983427,-0.782988927625426,-0.18181818173692302,0.18181818202249303
0.2710343780809722,-0.7811707458052033,-0.18181818173718337,0.18181818202206362
0.269216196263599,-0.7793525639849848,-0.18181818173744257,0.18181818202163574
0.2673980144462233,-0.7775343821647706,-0.18181818173769956,0.1818181820212088
0.2655798326288451,-0.7757162003445607,-0.18181818173795827,0.18181818202078354
0.2655798326288451,-0.7757162003445607,-0.18181818173795827,0.18181818202078354
0.26376165081146413,-0.7738980185243549,-0.18181818173821626,0.18181818202035918
0.26194346899408066,-0.7720798367041535,-0.18181818173847095,0.18181818201993594
0.2601252871766947,-0.7702616548839563,-0.1818181817387278,0.1818181820195145
0.25830710535930623,-0.7684434730637633,-0.1818181817389841,0.181818182019094
0.25830710535930623,-0.7684434730637633,-0.1818181817389841,0.181818182019094
0.256488923541915,-0.7666252912435745,-0.18181818173923986,0.18181818201867445
0.25467074172452125,-0.7648071094233898,-0.18181818173949224,0.1818181820182564
0.252852559907125,-0.7629889276032094,-0.1818181817397469,0.18181818201783978
0.2510343780897263,-0.761170745783033,-0.1818181817400009,0.18181818201742406
0.24921619627232505,-0.7593525639628609,-0.18181818174025438,0.18181818201700983
0.24921619627232505,-0.7593525639628609,-0.18181818174025438,0.18181818201700983
