u1,u2
-1.5261828654550786,5.0
-1.4568540593983985,5.0
-1.531630523670185,5.0
-1.5319058799403007,5.0
-1.4289412567675899,5.0
-1.366595148343498,5.0
-1.416902598039087,5.0
-1.438254314488601,5.0
-1.2680070199716373,5.0
-1.3777413766458722,5.0
-1.245025360604498,5.0
-1.242413221501198,5.0
-1.268889881347004,5.0
-1.2970532649917383,5.0
-1.142608652389366,5.0
-1.2517124888464455,5.0
-1.2606004141747014,5.0
-1.1387142511469674,5.0
-1.1158089492558865,5.0
-1.1217089066058183,5.0
-1.1659004025515747,5.0
-1.1297588071911244,5.0
-1.0724483297936296,5.0
-1.069843810939576,5.0
-1.012093466747123,5.0
-1.0040136866104732,5.0
-1.0710159016931253,5.0
-1.0231604298201122,5.0
-1.0713793098880429,5.0
-0.8425075119773752,5.0
-0.9231135997440886,5.0
-0.9188969500029769,5.0
-0.915260947170447,5.0
-0.7940900525182263,5.0
-0.797476577227975,5.0
-0.8752328405848042,5.0
-0.79356194790575,5.0
-0.8610953376115669,5.0
-0.7524581809476404,5.0
-0.6405938921355039,5.0
-0.7481264300150139,5.0
-0.659483935093308,5.0
-0.6210825907193703,5.0
-0.5732250595196969,5.0
-0.6459486056141379,5.0
-0.7170122929213695,5.0
-0.6093991394503786,5.0
-0.5903275001996532,5.0
-0.5688174848680593,5.0
-0.5858457228992996,5.0
-0.5188487984788156,5.0
-0.6289916063767844,5.0
-0.5241140997589526,5.0
-0.45511902724996356,5.0
-0.43243949859404035,5.0
-0.37919485642952877,5.0
-0.4992903435506567,5.0
-0.4197849296851947,5.0
-0.3054910330902581,5.0
-0.4247350937008769,5.0
-0.24750377381973804,5.0
-0.3574116870761075,5.0
-0.2537525645983232,5.0
-0.25327897030974106,5.0
-0.33627494282073433,5.0
-0.17098098845050747,5.0
-0.14557010149719557,5.0
-0.2610687232686544,5.0
-0.056411045488849065,5.0
-0.1696264907737778,5.0
-0.1568385280270432,5.0
-0.1799625474667846,5.0
-0.023862933167196995,5.0
-0.09046952148083776,5.0
0.02520687762992351,5.0
-0.11668123713468853,5.0
0.029656909628705357,5.0
0.022989015136531,5.0
0.11239034533350657,5.0
0.14681989934828388,5.0
0.08720083720704787,5.0
0.12223991993465746,5.0
0.09668717049095746,5.0
0.12754760255975311,5.0
0.18715636065516372,5.0
0.1957259017571501,5.0
